item,class_id,class_name,th,default_name,obj_type,obj_mane,output_Measurement
Energy,169869312,Directional Energy,169869317,Reactive Energy Out of the Load,RegisterObj,NumericVariable_Register,
Energy,169869312,Directional Energy,169869318,Reactive Energy,RegisterObj,NumericVariable_Register,
Energy,169869312,Directional Energy,169869319,Apparent Energy,RegisterObj,NumericVariable_Register,
Energy,169869312,Directional Energy,169869320,Active Energy Total,RegisterObj,NumericVariable_Register,
Energy,169869312,Directional Energy,169869321,Reactive Energy Total,RegisterObj,NumericVariable_Register,
Energy,169869312,Directional Energy,169869322,Apparent Energy Total,RegisterObj,NumericVariable_Register,
Frequency,206569728,Frequency Readings,206569729,Frequency,RegisterObj,NumericVariable_Register,
Frequency,206569728,Frequency Readings,206569730,Nominal Frequency,RegisterObj,NumericVariable_Register,
Frequency,206569728,Frequency Readings,206569731,Frequency High,RegisterObj,NumericVariable_Register,
Frequency,206569728,Frequency Readings,206569732,Frequency Low,RegisterObj,NumericVariable_Register,
Frequency,206569728,Frequency Readings,206569733,Frequency Mean,RegisterObj,NumericVariable_Register,
Generic IO,207618304,Digital Input,207618305,Digital Input 1,BoolObj,Boolean_Register,
Generic IO,207618304,Digital Input,207618306,Digital Input 2,BoolObj,Boolean_Register,
Generic IO,207618304,Digital Input,207618307,Digital Input 3,BoolObj,Boolean_Register,
Generic IO,207618304,Digital Input,207618308,Digital Input 4,BoolObj,Boolean_Register,
Generic IO,207618304,Digital Input,207618309,Digital Input 5,BoolObj,Boolean_Register,
Generic IO,207618304,Digital Input,207618310,Digital Input 6,BoolObj,Boolean_Register,
Generic IO,207618304,Digital Input,207618311,Digital Input 7,BoolObj,Boolean_Register,
Generic IO,207618304,Digital Input,207618312,Digital Input 8,BoolObj,Boolean_Register,
Generic IO,207618304,Digital Input,207618313,Digital Input 1 Count,RegisterObj,NumericVariable_Register,
Generic IO,207618304,Digital Input,207618314,Digital Input 2 Count,RegisterObj,NumericVariable_Register,
Generic IO,207618304,Digital Input,207618315,Digital Input 3 Count,RegisterObj,NumericVariable_Register,
Generic IO,207618304,Digital Input,207618316,Digital Input 4 Count,RegisterObj,NumericVariable_Register,
Generic IO,207618304,Digital Input,207618317,Digital Input 5 Count,RegisterObj,NumericVariable_Register,
Generic IO,207618304,Digital Input,207618318,Digital Input 6 Count,RegisterObj,NumericVariable_Register,
Generic IO,207618304,Digital Input,207618319,Digital Input 7 Count,RegisterObj,NumericVariable_Register,
